Clause,Value
assignment,0.00012714550706094396
assignment,0.005028495204418615
assignment,0.0010119279723117547
assignment,0.0011883055257558839
assignment,0.0026584946604891746
assignment,0.009537045188507953
assignment,0.0018896347754572274
assignment,0.001517201772849197
assignment,0.0027912726437627766
confidentiality,0.009535189310473147
confidentiality,0.00026671734375760536
confidentiality,0.0008639678285810026
confidentiality,0.0012577409724510158
confidentiality,0.0010617442062448301
confidentiality,0.003739924610695722
confidentiality,0.002479397331829891
confidentiality,0.0026220851829015235
confidentiality,0.0005830954294094859
confidentiality,0.005668866649788495
force-majeure,0.0023428939060605725
force-majeure,0.0024902925897706263
force-majeure,0.0017883973186968438
force-majeure,0.004763850440477557
force-majeure,0.0006110760918012215
force-majeure,0.003378819365517982
force-majeure,0.00279374705560842
force-majeure,0.0007730185432771597
force-majeure,0.0004525075360476416
indemnity,0.009514824095496421
indemnity,0.00038878616233362084
indemnity,0.011873080481658138
indemnity,0.01079581596882262
indemnity,0.012750709987491393
indemnity,0.0017347409974546313
indemnity,0.0005550554516403627
indemnity,0.00729662692161448
indemnity,0.011831853583975538
publicity,0.007437729159331163
publicity,0.02005481491665262
publicity,0.004389502489060559
publicity,0.002891802696634471
publicity,0.001014885786902786
publicity,0.014900184794362836
publicity,0.0006862574902429808
publicity,0.010927218564115826
publicity,0.0026252054709063888
publicity,0.013770734107780402
publicity,0.006677314316590355
duration,0.0012634078834181661
duration,0.006171457008435799
duration,0.007509567829978803
duration,0.002338856478602769
duration,0.002302841736978478
duration,0.0006807639282917499
duration,0.0019369641741630028
duration,0.0003400843215709548
duration,0.004601621059350247
duration,0.004871600902774387
duration,0.006076631326223603
non-disparagement,0.013106435071424616
non-disparagement,0.001966291784394558
non-disparagement,0.002542014229630407
non-disparagement,0.0008382199831937776
non-disparagement,0.006798923513361088
non-disparagement,0.0057802552806143215
non-disparagement,0.008724062613409411
non-disparagement,0.0016323187734498257
non-disparagement,0.0006766262016175695
non-disparagement,0.0012701101861244402
non-disparagement,0.010339579016065192
non-compete,0.0039691594806692265
non-compete,0.0001244656850751813
non-compete,0.0017334643565999341
non-compete,0.01162588297833722
non-compete,0.00018556946351588888
non-compete,0.0003278714074201883
non-compete,0.0037295983831659996
non-compete,0.0074783615007125714
non-compete,0.004619454248012578
notice,0.004290032071750938
notice,0.00016463356975204846
notice,0.0010500380679467902
notice,0.006704092925748029
notice,0.0040387376975563605
notice,0.0011808195804872135
notice,0.003886796989471031
notice,0.015249939792172373
notice,0.02536202487942063
notice,0.0023865122602955147
notice,0.007340698983241412
termination,0.0017221311874092704
termination,0.003430567001605933
termination,0.001348178599599681
termination,0.006335981711432348
termination,0.0025330467369468757
termination,0.0014878397037862978
termination,0.001845355043963659
termination,0.007639816584022352
termination,0.013278188752403275
