Clause,Value
assignment,0.00749485534089267
assignment,0.0021293084316601485
assignment,9.319376139682589e-05
assignment,0.010281826420049822
assignment,0.000828469771448348
assignment,0.004833098444513406
assignment,0.006221193064247621
assignment,0.002614887663321186
assignment,0.011174012783031206
confidentiality,0.0011608058909331476
confidentiality,0.01325222125483061
confidentiality,0.01141852005020505
confidentiality,0.0004243217491212148
confidentiality,0.0020896372818257625
confidentiality,0.0015292156318720274
confidentiality,0.02529753570255211
confidentiality,0.016112336553999018
confidentiality,0.005118815180020664
confidentiality,0.054684890534474784
force-majeure,0.0060318905213129215
force-majeure,0.004659184030481489
force-majeure,0.0016300014481699376
force-majeure,0.006015422727927211
force-majeure,0.0020065686125469995
force-majeure,0.0039054929561261886
force-majeure,0.0018237409216300682
force-majeure,0.0013186928650675833
force-majeure,0.0026136704459616134
indemnity,0.04269350608836098
indemnity,0.00791721520805344
indemnity,0.008342709082197586
indemnity,0.005957959019979975
indemnity,0.005835815020383772
indemnity,0.0007664685991418674
indemnity,0.011786061332469178
indemnity,0.02241703103577919
indemnity,0.061685232402180934
publicity,0.006691147589390378
publicity,0.037626445090390814
publicity,0.0021401771839953954
publicity,0.014827807993641362
publicity,0.009017248704255798
publicity,0.012205304295400454
publicity,0.05349907898444051
publicity,0.06717623707851994
publicity,0.0019353252176469438
publicity,0.031672093200360574
publicity,0.004700315824106793
duration,0.009446065810507553
duration,0.0008479582090528126
duration,0.00999087883778882
duration,0.010483664688066052
duration,0.008049952999852339
duration,0.0017719371125859418
duration,0.01814638831315485
duration,0.021823679451686284
duration,0.008226036061863784
duration,0.0008060908949168999
duration,0.01437868085868721
non-disparagement,0.05803550522831524
non-disparagement,0.01599515360933812
non-disparagement,0.005439631325977912
non-disparagement,0.001043448009928838
non-disparagement,0.0031010586767588055
non-disparagement,0.00962170794706807
non-disparagement,0.013950918893239628
non-disparagement,0.024745205966960837
non-disparagement,0.006664912433614889
non-disparagement,0.029582065412895098
non-disparagement,0.0020209052877624423
non-compete,0.014344801774175076
non-compete,0.0007961307593519207
non-compete,0.001608494896043644
non-compete,0.004232428524747367
non-compete,0.0006744412910165698
non-compete,0.027473890154882885
non-compete,0.009381772189277604
non-compete,0.005721678604162728
non-compete,0.009366627657031223
notice,0.0017779733903061645
notice,0.007808549376671525
notice,0.009458663032265946
notice,0.011243348777399187
notice,0.000973432509046801
notice,0.014137466905158269
notice,0.0030983884991688804
notice,0.010458909595948862
notice,0.005468916205276342
notice,0.008660867717939058
notice,0.020649884092828863
termination,0.00506489785304598
termination,0.006109240309389419
termination,0.011181607784317427
termination,0.01002818192700261
termination,0.01143091216919978
termination,0.0021237452371287713
termination,0.019617800979403577
termination,0.016187403377936005
termination,0.0010318802257279769
