Clause,Value
assignment,0.007314420464110238
assignment,0.0023207900383347413
assignment,3.1770731534597196e-05
assignment,0.010333072502290652
assignment,0.0009301342053563699
assignment,0.004974713056032587
assignment,0.005753149187285422
assignment,0.0007576350142269872
assignment,0.014069175198388018
confidentiality,0.0012603868652791839
confidentiality,0.012819422091341015
confidentiality,0.0119494101381874
confidentiality,0.00011240925112876443
confidentiality,0.0019602725841362245
confidentiality,0.001859406998354296
confidentiality,0.025204200591256054
confidentiality,0.016260623510657934
confidentiality,0.0050947519479164205
confidentiality,0.05432458378677496
force-majeure,0.006403614240063749
force-majeure,0.0042796545456832424
force-majeure,0.0018208492972595636
force-majeure,0.005686588299307682
force-majeure,0.001801778409772803
force-majeure,0.004796475921374332
force-majeure,0.0013333699557765977
force-majeure,0.0009754381872818518
force-majeure,0.002556762422617931
indemnity,0.043217144272849395
indemnity,0.00682515768364933
indemnity,0.008520442619700419
indemnity,0.006256073967643383
indemnity,0.005460126083095429
indemnity,0.0011220341188430405
indemnity,0.0115979070094262
indemnity,0.02211455649764882
indemnity,0.06218100913902924
publicity,0.006444278314439611
publicity,0.03767271084372481
publicity,0.0027307737242783237
publicity,0.013776598089177639
publicity,0.009625068707318385
publicity,0.012531451383798076
publicity,0.05351005793499364
publicity,0.06806780463840767
publicity,0.001043297360966533
publicity,0.03233797092127633
publicity,0.004289752346249953
duration,0.010249145493738787
duration,0.0004273225304760597
duration,0.009637237674286814
duration,0.01086504400581334
duration,0.007582782536200483
duration,0.0020868918006490267
duration,0.0190014383932523
duration,0.021046612555914335
duration,0.008212720878457258
duration,0.0007454231386595511
duration,0.014482768645155852
non-disparagement,0.05875241446758661
non-disparagement,0.015246101587079619
non-disparagement,0.005360206407111989
non-disparagement,0.0016051501816339853
non-disparagement,0.0024209139995495788
non-disparagement,0.010011374646593851
non-disparagement,0.013492169218343841
non-disparagement,0.025690207923839803
non-disparagement,0.006103711681439639
non-disparagement,0.02950731878241919
non-disparagement,0.0019778303749852233
non-compete,0.014479101081179557
non-compete,0.0006990915290806532
non-compete,0.0015729316939475657
non-compete,0.0042813384206114025
non-compete,0.0006127017804393731
non-compete,0.027661208138288096
non-compete,0.00947975839612114
non-compete,0.005668466877769562
non-compete,0.009046995390585288
notice,0.001547064657913877
notice,0.008636529790309044
notice,0.007996606569117493
notice,0.012240908118159366
notice,0.0007537479222408106
notice,0.0136458146950732
notice,0.003863176796907841
notice,0.009902461222690562
notice,0.006379150516503174
notice,0.007925819676628532
notice,0.02074452035743901
termination,0.005582506198276382
termination,0.005513709113259546
termination,0.012100524667476242
termination,0.00986955236373177
termination,0.012670312118624794
termination,0.0026470985115559786
termination,0.020042657528633656
termination,0.014036627415214387
termination,0.0031276455135911263
