,orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow,Original Len
orig_vs_same_cos,1.0,0.287,-0.991,-0.285,0.06,0.084,0.432,0.056,0.144
orig_vs_diff_cos,0.287,1.0,-0.292,-0.973,0.261,-0.098,0.177,0.413,0.259
orig_vs_same_L2,-0.991,-0.292,1.0,0.294,-0.056,-0.087,-0.439,-0.052,-0.15
orig_vs_diff_L2,-0.285,-0.973,0.294,1.0,-0.269,0.125,-0.173,-0.409,-0.272
orig_vs_same_edit,0.06,0.261,-0.056,-0.269,1.0,0.425,0.115,0.298,0.96
orig_vs_diff_edit,0.084,-0.098,-0.087,0.125,0.425,1.0,0.13,-0.398,0.428
orig_vs_same_bow,0.432,0.177,-0.439,-0.173,0.115,0.13,1.0,0.123,0.253
orig_vs_diff_bow,0.056,0.413,-0.052,-0.409,0.298,-0.398,0.123,1.0,0.313
Original Len,0.144,0.259,-0.15,-0.272,0.96,0.428,0.253,0.313,1.0
