,orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow,Original Len
orig_vs_same_cos,1.0,0.108,-0.981,-0.109,-0.016,0.089,0.361,-0.002,0.062
orig_vs_diff_cos,0.108,1.0,-0.134,-0.97,0.183,-0.094,0.136,0.296,0.2
orig_vs_same_L2,-0.981,-0.134,1.0,0.136,0.007,-0.089,-0.391,-0.016,-0.082
orig_vs_diff_L2,-0.109,-0.97,0.136,1.0,-0.22,0.124,-0.158,-0.332,-0.245
orig_vs_same_edit,-0.016,0.183,0.007,-0.22,1.0,0.425,0.115,0.298,0.96
orig_vs_diff_edit,0.089,-0.094,-0.089,0.124,0.425,1.0,0.13,-0.398,0.428
orig_vs_same_bow,0.361,0.136,-0.391,-0.158,0.115,0.13,1.0,0.123,0.253
orig_vs_diff_bow,-0.002,0.296,-0.016,-0.332,0.298,-0.398,0.123,1.0,0.313
Original Len,0.062,0.2,-0.082,-0.245,0.96,0.428,0.253,0.313,1.0
