,orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow,Original Len
orig_vs_same_cos,1.0,0.382,-0.988,-0.358,0.111,0.15,0.492,0.092,0.168
orig_vs_diff_cos,0.382,1.0,-0.37,-0.969,0.323,-0.09,0.319,0.597,0.35
orig_vs_same_L2,-0.988,-0.37,1.0,0.354,-0.12,-0.169,-0.504,-0.082,-0.189
orig_vs_diff_L2,-0.358,-0.969,0.354,1.0,-0.355,0.115,-0.326,-0.611,-0.385
orig_vs_same_edit,0.111,0.323,-0.12,-0.355,1.0,0.425,0.115,0.298,0.96
orig_vs_diff_edit,0.15,-0.09,-0.169,0.115,0.425,1.0,0.13,-0.398,0.428
orig_vs_same_bow,0.492,0.319,-0.504,-0.326,0.115,0.13,1.0,0.123,0.253
orig_vs_diff_bow,0.092,0.597,-0.082,-0.611,0.298,-0.398,0.123,1.0,0.313
Original Len,0.168,0.35,-0.189,-0.385,0.96,0.428,0.253,0.313,1.0
