,orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow,Original Len
orig_vs_same_cos,1.0,0.553,-0.982,-0.601,0.469,0.232,0.489,0.357,0.519
orig_vs_diff_cos,0.553,1.0,-0.546,-0.948,0.347,-0.213,0.139,0.724,0.359
orig_vs_same_L2,-0.982,-0.546,1.0,0.608,-0.543,-0.262,-0.502,-0.368,-0.606
orig_vs_diff_L2,-0.601,-0.948,0.608,1.0,-0.431,0.217,-0.195,-0.78,-0.453
orig_vs_same_edit,0.469,0.347,-0.543,-0.431,1.0,0.425,0.115,0.298,0.96
orig_vs_diff_edit,0.232,-0.213,-0.262,0.217,0.425,1.0,0.13,-0.398,0.428
orig_vs_same_bow,0.489,0.139,-0.502,-0.195,0.115,0.13,1.0,0.123,0.253
orig_vs_diff_bow,0.357,0.724,-0.368,-0.78,0.298,-0.398,0.123,1.0,0.313
Original Len,0.519,0.359,-0.606,-0.453,0.96,0.428,0.253,0.313,1.0
