Doc,Score,Rank
Phreesa,1.0,-1
Verastem,0.9936271440098621,1
Two Contracts,0.993499998502801,2
Phio Pharm,0.9884715032983824,3
United Surgical Partners,0.9874595753260706,4
Rezolute,0.9862712698003147,5
Alibero,0.9836127751398255,6
Abiomed,0.9740757299513176,7
Chiasma,0.9721860951758604,8
Rocket,0.9706688934030111,9
Ironwood,0.9678776207592484,10
