Doc,Score,Rank
2 from Sanchez,1.0,-1
Gulfport,0.9881667413177904,1
Mammoth,0.9869033334343722,2
Earthstone,0.9807318764259364,3
Gi Dynamics,0.9732223085959576,4
Kinmed,0.9708834521173548,5
Cytodin,0.9685806103803765,6
TTM,0.9678998464520846,7
Entellus,0.9659628822779216,8
Frontier,0.9656227979563506,9
Inseego,0.9610211768970003,10
Opgen,0.956149575994226,11
Angel Pond,0.9500729446680024,12
