Doc,Score,Rank
Neuralstem,1.0000000000000002,-1
Delcath,0.9766783624243102,1
BioPharmX,0.9723883303525592,2
Dicerna,0.9722236967828073,3
Plug Power,0.9711736587148604,4
FuelCell,0.9644695657891125,5
Helios and Matheson,0.9604308280915559,6
Tandem Diabetes,0.9592500085110687,7
Leap,0.9553632115215978,8
Gevo,0.9401132717294254,9
Axion,0.9147512468500048,10
EnerCore,0.9123647345897093,11
Carbon Energy,0.9050240356064678,12
