Doc,Score,Rank
Immunomedics 2,1.0000000000000002,-1
Immunomedics 3,0.9746917766887543,1
2 from Tilray,0.9707226172080853,2
Tilray,0.9705981515230101,3
Tilray 2,0.96886468716641,4
Auxillium 3,0.9572388041880727,5
Auxillium 2,0.957053234724557,6
Immunomedics,0.9567253633171368,7
Zeta Global,0.9529957649339708,8
Auxillium,0.9455174034332582,9
1 Deerfield,0.9408979491852456,10
