Doc,Score,Rank
Adaptive Biotech 2,1.0,-1
NextCure,0.9867179392193951,1
Adaptive Biotech,0.9843750453133346,2
Genvec,0.9818847527235641,3
Vaxcyte,0.9800963554048672,4
Beam,0.9753325049643896,5
Enanta,0.9747214288725883,6
Forma,0.9713426095070704,7
Biocardia,0.968548862451462,8
Revolution,0.9677758439081849,9
Sensei,0.9673233363721371,10
