Doc,Score,Rank
Eagle Pharma,1.0,-1
2 from Eliem,0.9270916087919312,1
Heat Biologics,0.925930802900998,2
Mirum,0.9126785816461674,3
3 from Everbridge,0.9012600615959624,4
Verrica,0.9008357398468413,5
Newlink,0.8987461025650154,6
Biocept,0.8972168869331434,7
2 from 2 (2),0.8719193512305913,8
Adagio,0.8558070146765923,9
Proteostatus,0.8506881994965716,10
Array,0.7960033089620968,11
