Doc,Score,Rank
Adaptive Biotech 2,1.0,-1
Adaptive Biotech,0.9595268464838979,1
Vaxcyte,0.953494955962585,2
Enanta,0.9488357719321036,3
Beam,0.9472057704839336,4
NextCure,0.9411903477560064,5
Genvec,0.9391837791434594,6
Forma,0.9352782861873333,7
Biocardia,0.9334545452657033,8
Revolution,0.9321358524006355,9
Sensei,0.9295221819546741,10
