Doc,Score,Rank
Neuralstem,1.0,-1
BioPharmX,0.8847218684842734,1
Delcath,0.8829438950939672,2
Dicerna,0.8751353457172957,3
Plug Power,0.8656766826850297,4
Helios and Matheson,0.8544333339076305,5
FuelCell,0.8534599013985837,6
Gevo,0.8393224344934255,7
Tandem Diabetes,0.8362240459942566,8
EnerCore,0.8257651363983077,9
Leap,0.8202962201930314,10
Axion,0.8116353524750923,11
Carbon Energy,0.7909854683822635,12
