Doc,Score,Rank
Phreesa,0.9999999999999999,-1
Verastem,0.9620336186048571,1
Rezolute,0.9545387632639646,2
United Surgical Partners,0.9524094548323044,3
Two Contracts,0.9523162610709076,4
Rocket,0.9420344346508578,5
Chiasma,0.9412059648794094,6
Phio Pharm,0.9363728664348959,7
Abiomed,0.9301516733706483,8
Alibero,0.9275367857073272,9
Ironwood,0.916362772924296,10
