experiment,clause_type,val_accuracy
crawl-300d-2M-subword-norm,all,0.86
nv-embed-v2-norm,all,0.8933
text-embedding-3-large,all,0.84
text-embedding-004,all,0.8233
legal-bert-base-uncased-meanpool-norm,all,0.906
