Clause,P,Value
assignment,0.9,0.617
confidentiality,0.9,0.373
force-majeure,0.9,0.778
indemnity,0.9,0.588
publicity,0.9,0.552
duration,0.9,0.477
non-disparagement,0.9,0.445
non-compete,0.9,0.431
notice,0.9,0.693
termination,0.9,0.491
