Clause,P,Value
assignment,0.9,0.479
confidentiality,0.9,0.46
force-majeure,0.9,0.693
indemnity,0.9,0.66
publicity,0.9,0.547
duration,0.9,0.345
non-disparagement,0.9,0.306
non-compete,0.9,0.459
notice,0.9,0.503
termination,0.9,0.513
