Clause,P,Value
assignment,0.9,0.729
confidentiality,0.9,0.442
force-majeure,0.9,1.0
indemnity,0.9,0.588
publicity,0.9,0.433
duration,0.9,0.497
non-disparagement,0.9,0.396
non-compete,0.9,0.297
notice,0.9,0.55
termination,0.9,0.576
