Clause,P,Value
assignment,0.9,0.59
confidentiality,0.9,0.396
force-majeure,0.9,0.667
indemnity,0.9,0.588
publicity,0.9,0.51
duration,0.9,0.402
non-disparagement,0.9,0.454
non-compete,0.9,0.598
notice,0.9,0.509
termination,0.9,0.444
