Clause,P,Value
assignment,0.9,0.392
confidentiality,0.9,0.332
force-majeure,0.9,0.757
indemnity,0.9,0.543
publicity,0.9,0.543
duration,0.9,0.341
non-disparagement,0.9,0.642
non-compete,0.9,0.729
notice,0.9,0.543
termination,0.9,0.444
