Doc,Score,Rank
MassRoots,0.9999999999999998,-1
Landstar,0.9173155546498302,1
2 from 8i ,0.9083111254492041,2
2 from GrubHub,0.8941637469926947,3
6 from 3,0.8901128748549973,4
4 from Albany,0.8823855149661246,5
2 from GenCo,0.8817215849447492,6
4 from First Advantage,0.8656843236775827,7
4 from 2,0.8597241698426895,8
5 from Herbalife,0.8596163422440399,9
Genesis,0.8243204594322849,10
